	GSM484148	GSM484150	GSM484151	GSM484152	GSM484153	GSM484159	GSM484160	GSM484161	GSM484162	GSM484163	GSM484164	GSM484165	GSM484166	GSM484167	GSM484168	GSM484169	GSM484170	GSM484172	GSM484173	GSM484174	GSM484175	GSM484176	GSM484177	GSM484178	GSM484179	GSM484180	GSM484181	GSM484182	GSM484183	GSM484184	GSM484185	GSM484186	GSM484187	GSM484188	GSM484189	GSM484190	GSM484191	GSM484192	GSM484193	GSM484194	GSM484196	GSM484197	GSM484198	GSM484199	GSM484200	GSM484202	GSM484203	GSM689005	GSM689006	GSM689007	GSM689008	GSM689009	GSM689010	GSM689011	GSM689012	GSM689013	GSM689014	GSM689015	GSM689016	GSM689017	GSM689018	GSM689019	GSM689020	GSM689021	GSM689022	GSM689023	GSM689024	GSM689025	GSM689026	GSM689027	GSM689028	GSM689029	GSM689030	GSM689031	GSM689032	GSM689033	GSM689034	GSM689035	GSM689036	GSM689037	GSM689038	GSM689039	GSM689040	GSM689041	GSM689042	GSM689043	GSM689044	GSM689045	GSM689046	GSM689047	GSM689048	GSM689049	GSM689050	GSM689051
DNAJC15	0.12535	0.11396	0.12526	0.10911	0.13497	0.08617	0.08905	0.20895	0.07932	0.13764	0.1461	0.10392	0.11635	0.05858	0.0783	0.06573	0.06345	0.0866	0.08284	0.05385	0.08097	0.17406	0.12274	0.11852	0.2518	0.1396	0.1187	0.09852	0.09994	0.08396	0.19115	0.06194	0.1298	0.1585	0.0773	0.13715	0.11367	0.12844	0.08642	0.06877	0.05992	0.08526	0.06703	0.08444	0.10239	0.06001	0.03272	0.14594	0.12811	0.1484	0.1975	0.13928	0.16662	0.26071	0.25816	0.05885	0.10772	0.09607	0.06447	0.17422	0.06564	0.14128	0.12139	0.19403	0.16764	0.08856	0.07273	0.18073	0.20999	0.12131	0.17679	0.18791	0.10811	0.30251	0.12634	0.16346	0.14094	0.63225	0.07593	0.23624	0.27941	0.12999	0.10653	0.20727	0.20852	0.21064	0.09303	0.11016	0.0847	0.21102	0.11974	0.32301	0.16024	0.04627
DNMT1	0.06729	0.051	0.07297	0.07742	0.07251	0.05471	0.04116	0.05312	0.0637	0.07515	0.06478	0.06608	0.04663	0.05978	0.05438	0.05498	0.0569	0.06033	0.06432	0.04994	0.10947	0.05835	0.05971	0.08839	0.06629	0.04337	0.04225	0.0607	0.06166	0.05434	0.05609	0.03804	0.10341	0.08871	0.06868	0.05917	0.06896	0.05313	0.09434	0.0528	0.0689	0.08504	0.06393	0.10678	0.0723	0.08828	0.02437	0.06612	0.0437	0.05899	0.0486	0.05581	0.07121	0.02927	0.0802	0.02	0.04977	0.08573	0.07551	0.05606	0.06189	0.05719	0.05814	0.05302	0.08251	0.03541	0.07972	0.06857	0.01753	0.07715	0.05615	0.06436	0.03708	0.19933	0.10376	0.04277	0.06845	0.07375	0.05679	0.04248	0.06651	0.05191	0.08321	0.06903	0.05144	0.05179	0.04017	0.07008	0.05488	0.05523	0.05336	0.0561	0.06829	0.05238
DNMT2	0.88555	0.81058	0.81169	0.87018	0.88854	0.79501	0.74466	0.88304	0.81201	0.83288	0.87576	0.79037	0.8109	0.8325	0.8531	0.83722	0.80557	0.79421	0.85093	0.81429	0.84149	0.85996	0.86757	0.86478	0.83021	0.83869	0.81592	0.82987	0.7918	0.78866	0.82476	0.78402	0.89079	0.82777	0.82719	0.86996	0.8415	0.85156	0.85923	0.87143	0.84657	0.86253	0.83157	0.83494	0.83406	0.86615	0.8878	0.90845	0.89965	0.85841	0.54947	0.89472	0.90733	0.88202	0.8855	0.79062	0.889	0.86431	0.84478	0.893	0.90771	0.84736	0.87972	0.87776	0.86062	0.86377	0.82587	0.87612	0.87074	0.87401	0.92489	0.86721	0.92001	0.83228	0.822	0.80153	0.87923	0.9273	0.87874	0.62104	0.90018	0.85777	0.82765	0.85446	0.85848	0.8871	0.85695	0.81678	0.87223	0.87151	0.81594	0.8864	0.8223	0.90379
DNMT3B	0.27528	0.16402	0.16622	0.18432	0.24235	0.16831	0.12578	0.15834	0.15805	0.18234	0.20874	0.16853	0.15566	0.1596	0.16082	0.16544	0.14521	0.14331	0.15311	0.19564	0.15488	0.14109	0.16988	0.21488	0.1909	0.18089	0.19974	0.15944	0.11066	0.19737	0.15546	0.15214	0.28242	0.13248	0.12739	0.18624	0.11222	0.15421	0.1817	0.23865	0.2284	0.2494	0.15118	0.14097	0.18018	0.21803	0.05971	0.27396	0.13506	0.1877	0.15598	0.14869	0.18548	0.11413	0.16794	0.04952	0.15414	0.14408	0.10428	0.14831	0.21969	0.12572	0.15964	0.14103	0.18629	0.11264	0.11235	0.26391	0.10918	0.13507	0.2998	0.18143	0.15947	0.26566	0.16989	0.12323	0.23353	0.2025	0.1205	0.46356	0.25621	0.15257	0.22752	0.26628	0.15542	0.1475	0.19768	0.14948	0.14183	0.10868	0.11278	0.12318	0.11856	0.07062
DSC2	0.3935	0.47214	0.47769	0.40946	0.36414	0.30346	0.17756	0.34564	0.43871	0.45809	0.35565	0.31819	0.27399	0.33982	0.32841	0.381	0.38679	0.4204	0.47859	0.24834	0.48023	0.33544	0.46816	0.26936	0.22495	0.54344	0.23975	0.35521	0.26138	0.32682	0.35073	0.26407	0.40759	0.4159	0.36932	0.39739	0.47035	0.37872	0.40677	0.41119	0.3405	0.38896	0.37481	0.51354	0.33612	0.33606	0.03436	0.5244	0.54691	0.43607	0.25451	0.35235	0.22349	0.23835	0.30239	0.23299	0.49933	0.19718	0.26847	0.51211	0.04792	0.4929	0.42983	0.41069	0.35937	0.51309	0.28993	0.2073	0.06087	0.56575	0.2857	0.45269	0.35082	0.2348	0.46258	0.14168	0.39647	0.35146	0.3754	0.80393	0.27148	0.46745	0.43058	0.19981	0.32175	0.27289	0.32281	0.27463	0.56861	0.15737	0.33293	0.21271	0.22805	0.1362
DSG1	0.92337	0.86729	0.93244	0.90579	0.93666	0.88911	0.83004	0.90127	0.91477	0.85841	0.90443	0.89358	0.87848	0.84812	0.9066	0.88853	0.89048	0.9018	0.87274	0.87358	0.91442	0.88453	0.90465	0.89212	0.87925	0.89941	0.88703	0.89872	0.89231	0.86485	0.88277	0.8997	0.92587	0.93032	0.91538	0.91259	0.89861	0.89186	0.92368	0.90435	0.90288	0.9212	0.92349	0.96158	0.92152	0.90681	0.90908	0.92204	0.86513	0.89051	0.90987	0.91989	0.86899	0.85808	0.8932	0.87203	0.90545	0.93492	0.90538	0.8859	0.91919	0.87802	0.92101	0.87443	0.86599	0.88619	0.92184	0.88351	0.87674	0.87845	0.91929	0.91105	0.89596	0.92272	0.9073	0.88885	0.90543	0.88355	0.88688	0.88739	0.89184	0.83926	0.87209	0.8376	0.83707	0.81872	0.85594	0.8538	0.87612	0.75232	0.85863	0.89669	0.8933	0.87532
DSP	0.26168	0.25591	0.30561	0.29226	0.3599	0.33837	0.1639	0.23752	0.19273	0.26559	0.22978	0.26827	0.25692	0.23048	0.23539	0.18222	0.18974	0.2159	0.36866	0.33949	0.39114	0.26515	0.20892	0.24195	0.21025	0.22794	0.22179	0.25835	0.19822	0.32759	0.21668	0.18526	0.2456	0.36631	0.25826	0.22203	0.18464	0.2015	0.2803	0.2524	0.25536	0.30031	0.32623	0.5199	0.31544	0.32906	0.49566	0.2522	0.16084	0.22907	0.2205	0.21164	0.21972	0.17057	0.13197	0.08378	0.17333	0.24952	0.21285	0.24161	0.17596	0.1902	0.19211	0.16515	0.23977	0.19765	0.22357	0.19929	0.10849	0.21591	0.25198	0.25701	0.21722	0.23368	0.25988	0.15758	0.21291	0.18858	0.17107	0.16467	0.23811	0.30467	0.26188	0.25757	0.25583	0.26626	0.14213	0.218	0.33826	0.15495	0.22273	0.24	0.31981	0.20961
DST	0.0661	0.06546	0.06107	0.05737	0.062	0.06086	0.05218	0.06481	0.07297	0.08986	0.05973	0.06093	0.06394	0.06935	0.05908	0.0748	0.0764	0.09142	0.0783	0.06852	0.07288	0.09766	0.06133	0.07918	0.07817	0.06459	0.06747	0.04831	0.05626	0.08654	0.06083	0.03315	0.07427	0.0883	0.07313	0.06615	0.06383	0.09402	0.08749	0.06655	0.069	0.07734	0.08272	0.0767	0.06402	0.06331	0.02676	0.09121	0.05479	0.07015	0.07454	0.08319	0.04547	0.08739	0.05229	0.04081	0.07744	0.04977	0.07153	0.0738	0.03959	0.07416	0.102	0.07419	0.05255	0.06068	0.09361	0.07504	0.04667	0.08004	0.09462	0.07043	0.07363	0.04723	0.09436	0.04115	0.06923	0.0486	0.06388	0.46243	0.0939	0.04223	0.08499	0.05815	0.06136	0.07002	0.04719	0.06645	0.1114	0.03437	0.08484	0.05575	0.05775	0.06477
DUSP4	0.15792	0.14306	0.16696	0.15259	0.1887	0.13539	0.11004	0.16696	0.12701	0.1694	0.15729	0.13953	0.13127	0.14936	0.14454	0.11933	0.13304	0.14435	0.14714	0.25467	0.1535	0.11893	0.13686	0.15475	0.16346	0.15762	0.14234	0.1361	0.16591	0.13315	0.13514	0.11683	0.15155	0.14515	0.11126	0.14854	0.14378	0.12965	0.13343	0.14694	0.14861	0.17346	0.13667	0.1275	0.14994	0.14031	0.23529	0.20564	0.14964	0.1335	0.16867	0.17508	0.12332	0.11676	0.13943	0.07251	0.15232	0.22998	0.15708	0.16547	0.15164	0.1166	0.12776	0.16451	0.17122	0.17482	0.18678	0.14338	0.07539	0.1574	0.20009	0.17373	0.14102	0.18958	0.15868	0.10648	0.17713	0.11525	0.11279	0.09791	0.1804	0.1553	0.15601	0.15271	0.19262	0.09131	0.13802	0.13815	0.16484	0.1671	0.1274	0.1809	0.16641	0.13053
E2F3	0.06303	0.05344	0.06373	0.06345	0.05838	0.04785	0.03764	0.06567	0.05889	0.06505	0.04882	0.0557	0.05471	0.06428	0.04519	0.03936	0.03519	0.04324	0.08175	0.04958	0.07401	0.04113	0.05053	0.04941	0.04853	0.05016	0.05749	0.06234	0.06386	0.06454	0.04583	0.04907	0.0574	0.06967	0.04282	0.04609	0.04238	0.05518	0.04929	0.06546	0.05951	0.06278	0.05678	0.04193	0.06614	0.063	0.04125	0.05061	0.05841	0.0529	0.05371	0.07897	0.06205	0.04314	0.04909	0.04746	0.04705	0.05824	0.07977	0.05049	0.03475	0.05574	0.05684	0.04634	0.05246	0.03665	0.04917	0.05326	0.0477	0.0536	0.05785	0.05266	0.05079	0.07077	0.04705	0.03805	0.05755	0.06369	0.05713	0.18183	0.04607	0.04407	0.08165	0.07489	0.07008	0.05484	0.05254	0.08024	0.10315	0.03734	0.05721	0.06305	0.04799	0.03729
E2F5	0.71435	0.6219	0.61597	0.62305	0.6605	0.64422	0.45479	0.56912	0.53475	0.53954	0.6839	0.62561	0.57186	0.51008	0.61302	0.57252	0.57047	0.60873	0.68297	0.56502	0.64223	0.6625	0.65482	0.6129	0.55461	0.59919	0.60006	0.64477	0.55323	0.60287	0.56415	0.55049	0.75389	0.64018	0.52405	0.68429	0.58217	0.63984	0.58992	0.56701	0.62505	0.75308	0.57652	0.67837	0.63151	0.66163	0.80648	0.61866	0.40547	0.58019	0.3536	0.48209	0.5369	0.22568	0.77805	0.28119	0.50003	0.4465	0.23608	0.54649	0.04326	0.42421	0.67181	0.40354	0.71383	0.52713	0.2584	0.46355	0.34303	0.38968	0.68492	0.5079	0.53986	0.56091	0.47787	0.49975	0.61247	0.48325	0.40118	0.60912	0.73679	0.49775	0.56355	0.73005	0.48008	0.65495	0.46617	0.33538	0.63332	0.45364	0.53725	0.35772	0.40749	0.29618
EDN1	0.03392	0.02854	0.02496	0.03188	0.02825	0.03015	0.03202	0.03236	0.02086	0.03572	0.02984	0.03306	0.02893	0.04947	0.02216	0.02394	0.02796	0.04111	0.03356	0.0281	0.03307	0.03022	0.02247	0.02439	0.01901	0.02883	0.02546	0.0222	0.03064	0.03255	0.0254	0.02615	0.03265	0.02689	0.02658	0.03539	0.03751	0.0224	0.02566	0.03733	0.03215	0.0255	0.03464	0.01976	0.02272	0.02516	0.02807	0.02115	0.032	0.02133	0.03161	0.02619	0.03673	0.02932	0.03058	0.05312	0.02201	0.02513	0.02495	0.0297	0.04134	0.02833	0.02951	0.03211	0.03196	0.02026	0.02433	0.02606	0.03001	0.0268	0.02926	0.02591	0.02312	0.02426	0.02189	0.02415	0.02896	0.02535	0.02176	0.74586	0.02288	0.02988	0.03174	0.02835	0.04099	0.02849	0.02995	0.0346	0.03013	0.02958	0.03745	0.09382	0.05391	0.02391
EDNRB	0.96885	0.95495	0.96676	0.96601	0.9688	0.96301	0.9372	0.94059	0.96428	0.9361	0.95634	0.94753	0.96029	0.93756	0.96286	0.95149	0.94851	0.95911	0.94649	0.95035	0.96707	0.94784	0.95139	0.96003	0.95728	0.95515	0.95697	0.95598	0.94826	0.9374	0.95618	0.96522	0.96233	0.96866	0.96011	0.96863	0.95226	0.95885	0.96421	0.95841	0.96357	0.96893	0.9595	0.97032	0.96794	0.96777	0.94502	0.96693	0.94922	0.95099	0.94505	0.96581	0.89619	0.95485	0.94297	0.82262	0.95657	0.91468	0.91927	0.94415	0.95238	0.93398	0.96763	0.92288	0.8914	0.93467	0.96976	0.94767	0.75886	0.94496	0.93558	0.96599	0.92178	0.97294	0.95986	0.9589	0.95937	0.90064	0.9566	0.88288	0.96012	0.92605	0.94612	0.93078	0.87299	0.94901	0.94732	0.92612	0.94374	0.9122	0.94024	0.93275	0.91997	0.96247
EFNA1	0.04563	0.03445	0.03542	0.0374	0.03574	0.02722	0.02725	0.04822	0.02522	0.06985	0.02339	0.03601	0.02908	0.03271	0.03929	0.03091	0.02898	0.02963	0.04076	0.04421	0.03437	0.03646	0.03331	0.02725	0.0285	0.03293	0.03002	0.02772	0.03844	0.03882	0.02896	0.03066	0.03665	0.03485	0.03149	0.0439	0.06	0.02925	0.03684	0.04607	0.03463	0.03763	0.03847	0.0255	0.02872	0.0322	0.03859	0.09843	0.05139	0.04152	0.03357	0.04201	0.03584	0.03208	0.04692	0.02787	0.046	0.02811	0.05841	0.04415	0.0302	0.06114	0.03507	0.04703	0.03979	0.03226	0.03101	0.03204	0.03355	0.03958	0.0444	0.03131	0.03904	0.0265	0.05677	0.03306	0.03473	0.03473	0.03945	0.03608	0.02754	0.0375	0.04717	0.03282	0.05331	0.06096	0.04405	0.04541	0.03768	0.02878	0.06169	0.03918	0.03396	0.02706
EFNB3	0.60374	0.53824	0.58675	0.57083	0.59743	0.52652	0.58124	0.43864	0.52192	0.59294	0.53729	0.57736	0.52764	0.58721	0.47093	0.53679	0.51675	0.56758	0.55573	0.5774	0.56603	0.52398	0.43044	0.51381	0.48434	0.59462	0.53996	0.51546	0.54799	0.63235	0.50464	0.5417	0.48799	0.51186	0.51231	0.50817	0.5185	0.53719	0.58937	0.57869	0.58913	0.56622	0.59604	0.67777	0.51353	0.59083	0.71694	0.58471	0.59238	0.52893	0.5556	0.56711	0.60236	0.55096	0.54452	0.74441	0.51878	0.56267	0.60681	0.54417	0.68442	0.5809	0.59645	0.57688	0.53259	0.47117	0.54456	0.51048	0.60787	0.52837	0.49511	0.50629	0.51232	0.53178	0.47089	0.49543	0.57194	0.45312	0.51934	0.55856	0.53101	0.62057	0.57782	0.55076	0.57205	0.61808	0.56075	0.57687	0.63167	0.55646	0.61629	0.62266	0.65804	0.62608
EGF	0.96069	0.9137	0.93816	0.94143	0.95147	0.90546	0.89323	0.91095	0.93929	0.92063	0.93863	0.91569	0.90177	0.90374	0.92043	0.893	0.92917	0.93886	0.92327	0.92528	0.93282	0.90804	0.9305	0.93157	0.90486	0.93565	0.92007	0.9108	0.92816	0.91532	0.9105	0.93773	0.95883	0.93533	0.93249	0.91859	0.93916	0.90731	0.95025	0.94592	0.93844	0.9536	0.92899	0.95239	0.91087	0.9409	0.96378	0.959	0.89945	0.93126	0.94736	0.95959	0.93987	0.74296	0.92935	0.6625	0.95869	0.7619	0.71856	0.9387	0.97238	0.9377	0.88962	0.84418	0.79617	0.94388	0.74886	0.94838	0.38689	0.96122	0.96298	0.9266	0.95444	0.9544	0.94622	0.95102	0.93876	0.7881	0.86946	0.94467	0.94656	0.91864	0.92867	0.9241	0.94373	0.68903	0.8719	0.78973	0.9162	0.41941	0.83677	0.93978	0.94486	0.80627
EGFR	0.06678	0.05069	0.0329	0.03871	0.05407	0.0336	0.05359	0.02972	0.03005	0.06884	0.02753	0.0345	0.03241	0.03728	0.04003	0.03451	0.03161	0.04691	0.06054	0.03973	0.04816	0.03993	0.0324	0.03416	0.03693	0.03679	0.03542	0.03369	0.04343	0.04231	0.03999	0.04051	0.04378	0.04111	0.031	0.02543	0.09076	0.03272	0.04365	0.05143	0.04251	0.03501	0.05087	0.04123	0.032	0.03556	0.02626	0.07691	0.08755	0.05703	0.04186	0.0455	0.03951	0.0268	0.05332	0.02619	0.06714	0.02068	0.03029	0.10527	0.02551	0.10759	0.04385	0.04348	0.02855	0.07347	0.03668	0.03883	0.02284	0.10933	0.03862	0.05296	0.03608	0.07869	0.07174	0.02537	0.05761	0.05378	0.0595	0.03979	0.02799	0.05061	0.07417	0.03723	0.06239	0.05596	0.03975	0.04693	0.09633	0.02607	0.06096	0.05358	0.04899	0.02897
EGR4	0.48153	0.3766	0.47278	0.44651	0.50345	0.41848	0.26298	0.37889	0.34129	0.36186	0.3465	0.39839	0.36898	0.34071	0.38021	0.31426	0.34869	0.38482	0.44991	0.38396	0.46573	0.40373	0.34278	0.39355	0.37063	0.3735	0.41124	0.4114	0.40148	0.41479	0.36775	0.37916	0.43063	0.48176	0.4322	0.40154	0.32417	0.35249	0.43722	0.45075	0.47931	0.44509	0.46892	0.67145	0.47006	0.4826	0.6138	0.33173	0.36998	0.37414	0.37589	0.4099	0.39342	0.29075	0.32359	0.25147	0.34589	0.3775	0.4194	0.35666	0.31746	0.32697	0.34994	0.34161	0.31794	0.31392	0.4539	0.38192	0.18712	0.38078	0.39401	0.39329	0.31979	0.43978	0.36964	0.32028	0.42312	0.43547	0.35685	0.52635	0.38309	0.36845	0.39515	0.41687	0.36075	0.3384	0.28095	0.44103	0.38043	0.22776	0.39674	0.38747	0.38084	0.35355
EIF2AK2	0.12927	0.09037	0.12531	0.12494	0.12734	0.09172	0.0742	0.09915	0.07079	0.0945	0.08604	0.10406	0.09568	0.07896	0.09336	0.08094	0.05817	0.09001	0.09941	0.08106	0.15753	0.09957	0.07698	0.08393	0.09722	0.07448	0.09708	0.07626	0.08541	0.11075	0.07778	0.07417	0.11585	0.14088	0.0874	0.09359	0.07251	0.07807	0.10637	0.09488	0.11202	0.12741	0.1079	0.19653	0.12731	0.11057	0.03308	0.07089	0.08652	0.10181	0.10827	0.09696	0.081	0.06735	0.05802	0.0416	0.07632	0.09402	0.08214	0.07684	0.08921	0.09665	0.08986	0.0876	0.07225	0.08143	0.08261	0.0905	0.04631	0.10616	0.10271	0.09031	0.09327	0.07481	0.08118	0.0668	0.10943	0.09509	0.07391	0.08394	0.10671	0.11119	0.113	0.11931	0.11053	0.08381	0.07559	0.11454	0.11247	0.04043	0.08427	0.10388	0.06856	0.07153
ELK3	0.1552	0.28621	0.20056	0.23281	0.33428	0.20168	0.19471	0.24262	0.18735	0.19602	0.17521	0.20106	0.20692	0.23426	0.19833	0.13888	0.14954	0.17495	0.20924	0.1977	0.17382	0.24454	0.23013	0.16391	0.19759	0.25853	0.1835	0.24683	0.11351	0.18587	0.24495	0.24197	0.24677	0.27143	0.14471	0.2208	0.24137	0.13087	0.17887	0.15289	0.23985	0.24105	0.20068	0.06321	0.26995	0.18601	0.06923	0.3386	0.22123	0.27767	0.12716	0.19682	0.13387	0.17569	0.28852	0.20663	0.24026	0.14062	0.14643	0.2076	0.17299	0.23765	0.32799	0.20393	0.18681	0.60532	0.10746	0.11967	0.13854	0.24552	0.64526	0.24875	0.23211	0.30008	0.24515	0.16183	0.22655	0.19697	0.24447	0.07754	0.29208	0.08103	0.25935	0.18268	0.187	0.24213	0.21715	0.26274	0.17747	0.0758	0.36223	0.1708	0.28253	0.24073
ELL	0.60224	0.36467	0.48884	0.51976	0.59503	0.53475	0.31281	0.44822	0.33918	0.34832	0.47231	0.39361	0.50731	0.29674	0.41419	0.42356	0.35738	0.37954	0.48242	0.34711	0.48428	0.45427	0.413	0.48705	0.29301	0.42537	0.47155	0.49215	0.26338	0.41026	0.35359	0.28158	0.61318	0.42383	0.43345	0.46827	0.44413	0.47137	0.52418	0.61784	0.5487	0.56975	0.36167	0.48852	0.4722	0.50491	0.64145	0.50079	0.25738	0.46233	0.12827	0.44496	0.40286	0.11922	0.38496	0.34713	0.34575	0.30139	0.28549	0.42003	0.11473	0.30414	0.25339	0.31204	0.33135	0.44971	0.17386	0.44947	0.41428	0.34344	0.41322	0.39735	0.33084	0.40123	0.43826	0.12347	0.45805	0.32733	0.23533	0.40222	0.60301	0.52071	0.42873	0.56482	0.34726	0.43867	0.65372	0.30442	0.54815	0.14955	0.30388	0.41995	0.14603	0.45801
EMR3	0.59378	0.66984	0.71136	0.68769	0.58591	0.66081	0.47611	0.61375	0.6392	0.62442	0.38162	0.71004	0.54505	0.63278	0.66869	0.63891	0.6582	0.69849	0.67038	0.67715	0.70461	0.59294	0.66513	0.54169	0.3896	0.637	0.565	0.60656	0.70571	0.68574	0.71819	0.6595	0.50053	0.68821	0.71877	0.62839	0.60164	0.61868	0.68425	0.5657	0.6655	0.55635	0.73213	0.57419	0.68459	0.57418	0.12297	0.5592	0.48393	0.59839	0.56651	0.4854	0.44625	0.63568	0.62546	0.23138	0.49338	0.52171	0.48074	0.54797	0.27784	0.55724	0.57712	0.57083	0.41507	0.61036	0.49183	0.39807	0.19574	0.5851	0.56032	0.6385	0.426	0.69156	0.71148	0.29611	0.56424	0.22692	0.5314	0.2179	0.42541	0.46827	0.56609	0.10338	0.34847	0.44013	0.37599	0.63173	0.54186	0.28127	0.44172	0.43159	0.8014	0.14183
ENC1	0.09179	0.07869	0.07346	0.06614	0.07984	0.07308	0.06965	0.08152	0.05973	0.08512	0.05684	0.06612	0.07555	0.0821	0.07127	0.05511	0.05888	0.07813	0.09233	0.08937	0.07251	0.0649	0.07145	0.05836	0.06334	0.07967	0.06519	0.06308	0.08178	0.09743	0.0698	0.07111	0.07095	0.06991	0.06594	0.06928	0.07141	0.06447	0.07425	0.08454	0.07697	0.0794	0.0778	0.07298	0.06286	0.07327	0.07917	0.06754	0.07744	0.07116	0.09365	0.07661	0.0927	0.05708	0.07964	0.05545	0.062	0.06662	0.08767	0.0681	0.06429	0.07786	0.06823	0.06824	0.69811	0.11558	0.06326	0.06945	0.04476	0.0781	0.07464	0.06081	0.08117	0.06912	0.06797	0.06375	0.09037	0.07401	0.05468	0.84701	0.06558	0.08898	0.08765	0.09015	0.11042	0.08608	0.08114	0.09356	0.10515	0.07103	0.07877	0.11101	0.09139	0.05848
EPHA1	0.0694	0.06996	0.07128	0.06916	0.08051	0.04933	0.04139	0.058	0.07305	0.09403	0.04746	0.07453	0.05031	0.058	0.05861	0.04602	0.05401	0.05856	0.0623	0.06404	0.0802	0.03686	0.05323	0.04087	0.04539	0.0561	0.05187	0.06116	0.07085	0.07587	0.06323	0.05955	0.05526	0.06653	0.07193	0.06515	0.05398	0.03784	0.04871	0.06277	0.07131	0.07137	0.0932	0.06597	0.05918	0.06242	0.64763	0.0474	0.04371	0.03576	0.03984	0.05225	0.04349	0.03702	0.04285	0.04597	0.0474	0.05904	0.03211	0.05261	0.02632	0.03528	0.04234	0.0438	0.04736	0.04672	0.05263	0.03847	0.02017	0.06584	0.04677	0.05323	0.03848	0.09518	0.08171	0.03761	0.05446	0.04198	0.05589	0.04492	0.03192	0.05887	0.0758	0.03853	0.04566	0.07293	0.05731	0.08479	0.07641	0.03224	0.0503	0.05769	0.03916	0.02296
EPHA2	0.56989	0.56026	0.38069	0.48043	0.61154	0.45895	0.2728	0.56494	0.37207	0.61929	0.39285	0.40863	0.26627	0.49832	0.595	0.5424	0.40108	0.44546	0.47094	0.47618	0.42917	0.46364	0.54642	0.47209	0.40681	0.63631	0.34847	0.39901	0.41199	0.44323	0.51843	0.36513	0.5945	0.39856	0.4588	0.38574	0.68965	0.36274	0.59845	0.43178	0.47164	0.4857	0.42624	0.44131	0.43428	0.43888	0.05395	0.75165	0.64502	0.64131	0.35315	0.61545	0.37043	0.31437	0.52156	0.27346	0.70578	0.32313	0.58573	0.6252	0.64977	0.60617	0.56892	0.60276	0.55467	0.73234	0.3121	0.42724	0.21129	0.65352	0.62658	0.7013	0.48936	0.65302	0.65529	0.4266	0.70628	0.48014	0.59509	0.22897	0.6211	0.55308	0.59754	0.33792	0.36698	0.38198	0.4196	0.49601	0.52929	0.30779	0.45565	0.39619	0.43697	0.15067
EPHA3	0.14478	0.14543	0.11021	0.12691	0.11574	0.08674	0.0921	0.07035	0.0621	0.18058	0.09024	0.11657	0.07257	0.11038	0.11302	0.10117	0.119	0.15201	0.15166	0.09786	0.13137	0.11952	0.22597	0.07919	0.08011	0.135	0.08523	0.1085	0.14618	0.06362	0.1027	0.10209	0.11799	0.12635	0.10467	0.10195	0.17465	0.10177	0.11624	0.13394	0.16821	0.10321	0.10653	0.15398	0.12767	0.09699	0.04625	0.19302	0.30729	0.15812	0.07069	0.11045	0.078	0.08882	0.06673	0.07391	0.13553	0.08611	0.07231	0.12944	0.04042	0.12831	0.118	0.10754	0.10475	0.13711	0.11466	0.08842	0.04899	0.16597	0.09138	0.16279	0.14055	0.07165	0.16522	0.07147	0.14671	0.12825	0.10527	0.04432	0.14257	0.08262	0.15206	0.0826	0.11077	0.13057	0.1403	0.08767	0.1388	0.08821	0.26489	0.12534	0.08065	0.13381
EPHA5	0.06343	0.05999	0.05266	0.0645	0.08341	0.05682	0.1225	0.05541	0.05565	0.0916	0.04405	0.0479	0.05504	0.0565	0.04936	0.05344	0.04397	0.06273	0.07859	0.05313	0.06491	0.0622	0.05997	0.0544	0.06279	0.04455	0.0497	0.03757	0.05009	0.06401	0.05707	0.04697	0.07001	0.06286	0.05485	0.04705	0.09131	0.0521	0.06372	0.06389	0.05317	0.05563	0.05861	0.04803	0.0607	0.05142	0.02777	0.12027	0.09161	0.07124	0.05766	0.07375	0.0701	0.04329	0.05686	0.17932	0.07044	0.08814	0.07577	0.09283	0.08042	0.13587	0.06577	0.07692	0.0737	0.08566	0.29816	0.07221	0.11811	0.18527	0.06507	0.07281	0.06573	0.05119	0.08491	0.04634	0.17145	0.2608	0.07931	0.67609	0.23084	0.08973	0.08479	0.06743	0.0804	0.06504	0.08115	0.26989	0.12976	0.12125	0.30833	0.0759	0.05822	0.09568
EPHA7	0.09602	0.08088	0.07343	0.08199	0.09956	0.0819	0.06942	0.09428	0.05419	0.11228	0.05514	0.07464	0.05606	0.07311	0.06253	0.07109	0.06985	0.09871	0.10234	0.08669	0.06668	0.0855	0.07964	0.06465	0.0546	0.05072	0.06159	0.05712	0.0855	0.07699	0.07901	0.05703	0.09377	0.08279	0.06755	0.06587	0.10241	0.06994	0.07997	0.06742	0.07089	0.07072	0.08303	0.08846	0.0708	0.07172	0.03951	0.11298	0.09933	0.09884	0.05379	0.08541	0.0928	0.05397	0.05355	0.06908	0.10814	0.1273	0.08372	0.10027	0.06964	0.14107	0.05436	0.08185	0.06519	0.10609	0.29525	0.07932	0.03499	0.24144	0.06928	0.08607	0.06608	0.04789	0.10916	0.04974	0.20727	0.06276	0.09651	0.04459	0.23442	0.10774	0.10688	0.07745	0.08043	0.05813	0.07317	0.07254	0.16785	0.05115	0.38177	0.07916	0.09263	0.49308
